Date,Airline,Departure,Arrival,Day,time,Payment,Price
2023-06-01,폴란드항공,11:20ICN,09:55CDG,+1일,"경유 1, 29시간 35분",성인/롯데카드,"편도 813,300원~"
2023-06-01,폴란드항공,11:20ICN,22:45CDG,"경유 1, 18시간 25분",,성인/롯데카드,"편도 813,300원~"
2023-06-01,폴란드항공,11:20ICN,18:55CDG,+1일,"경유 1, 38시간 35분",성인/롯데카드,"편도 813,300원~"
2023-06-01,에어인디아,12:05ICN,18:30CDG,+1일,"경유 1, 37시간 25분",성인/모든 결제수단,"편도 1,003,900원~"
2023-06-01,에티오피아항공,00:25ICN,06:25CDG,+1일,"경유 1, 37시간 00분",성인/KB국민카드,"편도 1,021,400원~"
2023-06-01,에티하드항공,17:55ICN,07:45CDG,+1일,"경유 1, 20시간 50분",성인/하나카드,"편도 1,080,300원~"
2023-06-01,타이항공,17:30ICN,07:10CDG,+1일,"경유 1, 20시간 40분",성인/KB국민카드,"편도 1,090,000원~"
2023-06-01,타이항공,10:20ICN,07:10CDG,+1일,"경유 1, 27시간 50분",성인/KB국민카드,"편도 1,090,000원~"
2023-06-01,타이항공,09:35ICN,07:10CDG,+1일,"경유 1, 28시간 35분",성인/KB국민카드,"편도 1,090,000원~"
2023-06-01,에어프랑스,09:05ICN,16:10CDG,"직항, 14시간 05분",,성인/삼성카드,"편도 1,152,500원~"
2023-06-01,루프트한자,12:20ICN,21:25CDG,"경유 1, 16시간 05분",,성인/롯데카드,"편도 1,153,500원~"
2023-06-01,루프트한자,12:20ICN,08:20CDG,+1일,"경유 1, 27시간 00분",성인/롯데카드,"편도 1,181,100원~"
2023-06-01,네덜란드항공,22:50ICN,07:55CDG,+1일,"경유 1, 16시간 05분",성인/삼성카드,"편도 1,202,600원~"
2023-06-01,네덜란드항공,22:50ICN,08:40CDG,+1일,"경유 1, 16시간 50분",성인/삼성카드,"편도 1,202,600원~"
2023-06-01,네덜란드항공에어프랑스 공동운항,22:50ICN,10:50CDG,+1일,"경유 1, 19시간 00분",성인/삼성카드,"편도 1,202,600원~"
2023-06-01,네덜란드항공에어프랑스 공동운항,22:50ICN,15:25CDG,+1일,"경유 1, 23시간 35분",성인/삼성카드,"편도 1,202,600원~"
2023-06-01,에티하드항공공동운항 정보확인필요,17:55ICN,23:40CDG,+1일,"경유 2, 36시간 45분",성인/모든 결제수단,"편도 1,210,500원~"
2023-06-01,에어프랑스대한항공 공동운항,12:20ICN,18:30CDG,"직항, 13시간 10분",,성인/롯데카드,"편도 1,221,700원~"
2023-06-01,여러항공사공동운항 정보확인필요,09:40ICN,21:20CDG,"경유 1, 18시간 40분",,성인/모든 결제수단,"편도 1,337,600원~"
2023-06-01,여러항공사공동운항 정보확인필요,09:40ICN,20:00CDG,"경유 1, 17시간 20분",,성인/모든 결제수단,"편도 1,337,600원~"
2023-06-01,에어프랑스네덜란드항공 공동운항,22:50ICN,15:25CDG,+1일,"경유 1, 23시간 35분",성인/롯데카드,"편도 1,353,000원~"
2023-06-01,에어프랑스네덜란드항공 공동운항,22:50ICN,10:50CDG,+1일,"경유 1, 19시간 00분",성인/롯데카드,"편도 1,353,000원~"
2023-06-01,에어프랑스네덜란드항공 공동운항,22:50ICN,08:40CDG,+1일,"경유 1, 16시간 50분",성인/롯데카드,"편도 1,353,000원~"
2023-06-01,에어프랑스네덜란드항공 공동운항,22:50ICN,07:55CDG,+1일,"경유 1, 16시간 05분",성인/롯데카드,"편도 1,353,000원~"
2023-06-01,대한항공,12:20ICN,18:30CDG,"직항, 13시간 10분",,성인/삼성카드,"편도 1,374,800원~"
2023-06-01,에티하드항공공동운항 정보확인필요,17:55ICN,17:20CDG,+1일,"경유 2, 30시간 25분",성인/모든 결제수단,"편도 1,377,200원~"
2023-06-01,루프트한자,11:40ICN,23:25CDG,"경유 1, 18시간 45분",,성인/롯데카드,"편도 1,379,900원~"
2023-06-01,루프트한자,12:20ICN,22:55CDG,"경유 1, 17시간 35분",,성인/롯데카드,"편도 1,391,600원~"
2023-06-01,네덜란드항공,22:50ICN,09:25CDG,+1일,"경유 1, 17시간 35분",성인/삼성카드,"편도 1,402,000원~"
2023-06-01,네덜란드항공,22:50ICN,17:45CDG,+1일,"경유 1, 25시간 55분",성인/삼성카드,"편도 1,402,000원~"
2023-06-01,네덜란드항공,22:50ICN,19:05CDG,+1일,"경유 1, 27시간 15분",성인/삼성카드,"편도 1,402,000원~"
2023-06-01,네덜란드항공,22:50ICN,13:40CDG,+1일,"경유 1, 21시간 50분",성인/삼성카드,"편도 1,402,000원~"
2023-06-01,네덜란드항공에어프랑스 공동운항,22:50ICN,15:50CDG,+1일,"경유 1, 24시간 00분",성인/삼성카드,"편도 1,402,000원~"
2023-06-01,네덜란드항공에어프랑스 공동운항,22:50ICN,20:05CDG,+1일,"경유 1, 28시간 15분",성인/삼성카드,"편도 1,402,000원~"
2023-06-01,네덜란드항공에어프랑스 공동운항,22:50ICN,11:55CDG,+1일,"경유 1, 20시간 05분",성인/삼성카드,"편도 1,402,000원~"
2023-06-01,루프트한자공동운항 정보확인필요,11:40ICN,08:55ORY,+1일,"경유 1, 28시간 15분",성인/롯데카드,"편도 1,408,900원~"
2023-06-01,루프트한자,11:40ICN,13:50CDG,+1일,"경유 1, 33시간 10분",성인/롯데카드,"편도 1,408,900원~"
2023-06-01,루프트한자,11:40ICN,08:15CDG,+1일,"경유 1, 27시간 35분",성인/롯데카드,"편도 1,408,900원~"
2023-06-01,루프트한자,11:40ICN,11:25CDG,+1일,"경유 1, 30시간 45분",성인/롯데카드,"편도 1,408,900원~"
2023-06-01,루프트한자,12:20ICN,09:45CDG,+1일,"경유 1, 28시간 25분",성인/롯데카드,"편도 1,419,200원~"
2023-06-01,루프트한자,12:20ICN,13:35CDG,+1일,"경유 1, 32시간 15분",성인/롯데카드,"편도 1,419,200원~"
2023-06-01,여러항공사,22:50ICN,11:55CDG,+1일,"경유 1, 20시간 05분",성인/삼성카드,"편도 1,426,800원~"
2023-06-01,여러항공사네덜란드항공 공동운항,22:50ICN,07:55CDG,+1일,"경유 1, 16시간 05분",성인/삼성카드,"편도 1,426,800원~"
2023-06-01,여러항공사네덜란드항공 공동운항,22:50ICN,13:40CDG,+1일,"경유 1, 21시간 50분",성인/삼성카드,"편도 1,426,800원~"
2023-06-01,여러항공사,22:50ICN,15:25CDG,+1일,"경유 1, 23시간 35분",성인/삼성카드,"편도 1,426,800원~"
2023-06-01,우즈베키스탄항공대한항공 공동운항,15:35ICN,18:00CDG,+1일,"경유 1, 33시간 25분",성인/모든 결제수단,"편도 1,460,300원~"
2023-06-01,루프트한자공동운항 정보확인필요,11:40ICN,18:35ORY,+1일,"경유 1, 37시간 55분",성인/롯데카드,"편도 1,528,200원~"
2023-06-01,루프트한자,12:20ICN,18:35CDG,+1일,"경유 1, 37시간 15분",성인/롯데카드,"편도 1,538,500원~"
2023-06-01,루프트한자,12:20ICN,10:45CDG,+1일,"경유 1, 29시간 25분",성인/롯데카드,"편도 1,538,500원~"
2023-06-01,캐세이퍼시픽항공,15:10ICN,07:00CDG,+1일,"경유 1, 22시간 50분",성인/KB국민카드,"편도 1,548,100원~"
2023-06-01,캐세이퍼시픽항공,13:35ICN,07:00CDG,+1일,"경유 1, 24시간 25분",성인/KB국민카드,"편도 1,548,100원~"
2023-06-01,여러항공사공동운항 정보확인필요,11:25ICN,21:20CDG,"경유 1, 16시간 55분",,성인/모든 결제수단,"편도 1,552,300원~"
2023-06-01,에어프랑스네덜란드항공 공동운항,22:50ICN,11:55CDG,+1일,"경유 1, 20시간 05분",성인/롯데카드,"편도 1,553,700원~"
2023-06-01,에어프랑스네덜란드항공 공동운항,22:50ICN,19:05CDG,+1일,"경유 1, 27시간 15분",성인/롯데카드,"편도 1,553,700원~"
2023-06-01,에어프랑스네덜란드항공 공동운항,22:50ICN,15:50CDG,+1일,"경유 1, 24시간 00분",성인/롯데카드,"편도 1,553,700원~"
2023-06-01,에어프랑스네덜란드항공 공동운항,22:50ICN,20:05CDG,+1일,"경유 1, 28시간 15분",성인/롯데카드,"편도 1,553,700원~"
2023-06-01,에어프랑스네덜란드항공 공동운항,22:50ICN,09:25CDG,+1일,"경유 1, 17시간 35분",성인/롯데카드,"편도 1,553,700원~"
2023-06-01,에어프랑스네덜란드항공 공동운항,22:50ICN,13:40CDG,+1일,"경유 1, 21시간 50분",성인/롯데카드,"편도 1,553,700원~"
2023-06-01,에어프랑스네덜란드항공 공동운항,22:50ICN,17:45CDG,+1일,"경유 1, 25시간 55분",성인/롯데카드,"편도 1,553,700원~"
2023-06-01,아시아나항공,10:45ICN,18:05CDG,"직항, 14시간 20분",,성인/삼성 iD PET 카드,"편도 1,580,800원~"
2023-06-01,싱가폴항공,23:45ICN,07:35CDG,+2일,"경유 1, 38시간 50분",성인/삼성 iD PET 카드,"편도 1,587,000원~"
2023-06-01,에미레이트항공,23:55ICN,13:30CDG,+1일,"경유 1, 20시간 35분",성인/우리카드,"편도 1,649,600원~"
2023-06-01,에미레이트항공,23:55ICN,20:00CDG,+1일,"경유 1, 27시간 05분",성인/우리카드,"편도 1,649,600원~"
2023-06-01,에미레이트항공,23:55ICN,09:25CDG,+2일,"경유 1, 40시간 30분",성인/우리카드,"편도 1,649,600원~"
2023-06-01,핀에어,21:40ICN,22:20CDG,+1일,"경유 1, 31시간 40분",성인/우리카드,"편도 1,768,600원~"
2023-06-01,핀에어,21:40ICN,09:40CDG,+1일,"경유 1, 19시간 00분",성인/우리카드,"편도 1,768,600원~"
2023-06-01,핀에어,21:40ICN,18:10CDG,+1일,"경유 1, 27시간 30분",성인/우리카드,"편도 1,768,600원~"
2023-06-01,에티하드항공공동운항 정보확인필요,17:55ICN,10:50CDG,+1일,"경유 2, 23시간 55분",성인/모든 결제수단,"편도 1,787,100원~"
2023-06-01,네덜란드항공에어프랑스 공동운항,22:50ICN,22:05CDG,+1일,"경유 1, 30시간 15분",성인/삼성카드,"편도 1,807,500원~"
2023-06-01,여러항공사네덜란드항공 공동운항,22:50ICN,19:05CDG,+1일,"경유 1, 27시간 15분",성인/삼성카드,"편도 1,832,300원~"
2023-06-01,여러항공사,22:50ICN,15:50CDG,+1일,"경유 1, 24시간 00분",성인/삼성카드,"편도 1,832,300원~"
2023-06-01,여러항공사네덜란드항공 공동운항,22:50ICN,09:25CDG,+1일,"경유 1, 17시간 35분",성인/삼성카드,"편도 1,832,300원~"
2023-06-01,여러항공사,22:50ICN,22:05CDG,+1일,"경유 1, 30시간 15분",성인/삼성카드,"편도 1,832,300원~"
2023-06-01,여러항공사네덜란드항공 공동운항,22:50ICN,17:45CDG,+1일,"경유 1, 25시간 55분",성인/삼성카드,"편도 1,832,300원~"
2023-06-01,여러항공사,22:50ICN,20:05CDG,+1일,"경유 1, 28시간 15분",성인/삼성카드,"편도 1,832,300원~"
2023-06-01,여러항공사,22:50ICN,10:50CDG,+1일,"경유 1, 19시간 00분",성인/삼성카드,"편도 1,832,300원~"
2023-06-01,여러항공사네덜란드항공 공동운항,22:50ICN,08:40CDG,+1일,"경유 1, 16시간 50분",성인/삼성카드,"편도 1,832,300원~"
2023-06-01,여러항공사,08:20ICN,19:25CDG,"경유 1, 18시간 05분",,성인/삼성카드,"편도 1,835,300원~"
2023-06-01,여러항공사,10:55ICN,07:00CDG,+1일,"경유 1, 27시간 05분",성인/모든 결제수단,"편도 1,891,400원~"
2023-06-01,여러항공사,09:40ICN,21:25CDG,"경유 1, 18시간 45분",,성인/모든 결제수단,"편도 1,893,900원~"
2023-06-01,터키항공,23:35ICN,18:30CDG,+1일,"경유 1, 25시간 55분",성인/NH채움카드,"편도 1,915,400원~"
2023-06-01,터키항공,23:35ICN,22:05CDG,+1일,"경유 1, 29시간 30분",성인/NH채움카드,"편도 1,915,400원~"
2023-06-01,터키항공,23:35ICN,12:45CDG,+1일,"경유 1, 20시간 10분",성인/NH채움카드,"편도 1,915,400원~"
2023-06-01,터키항공,23:35ICN,15:20CDG,+1일,"경유 1, 22시간 45분",성인/NH채움카드,"편도 1,915,400원~"
2023-06-01,에어프랑스네덜란드항공 공동운항,22:50ICN,22:05CDG,+1일,"경유 1, 30시간 15분",성인/롯데카드,"편도 1,955,100원~"
2023-06-01,여러항공사,11:50ICN,22:15CDG,"경유 1, 17시간 25분",,성인/모든 결제수단,"편도 1,956,000원~"
2023-06-01,카타르항공,01:30ICN,13:55CDG,"경유 1, 19시간 25분",,성인/KB국민카드,"편도 2,000,300원~"
2023-06-01,카타르항공,01:30ICN,07:25CDG,+1일,"경유 1, 36시간 55분",성인/KB국민카드,"편도 2,005,200원~"
2023-06-01,여러항공사,10:35ICN,07:00CDG,+1일,"경유 1, 27시간 25분",성인/모든 결제수단,"편도 2,030,500원~"
2023-06-01,터키항공,23:35ICN,09:40CDG,+1일,"경유 1, 17시간 05분",성인/NH채움카드,"편도 2,065,000원~"
2023-06-01,여러항공사,11:05ICN,20:10CDG,"경유 1, 16시간 05분",,성인/모든 결제수단,"편도 2,149,800원~"
2023-06-01,에바항공,19:45ICN,08:20CDG,+1일,"경유 1, 19시간 35분",성인/롯데카드,"편도 2,184,000원~"
2023-06-01,에바항공,12:00ICN,08:20CDG,+1일,"경유 1, 27시간 20분",성인/롯데카드,"편도 2,184,000원~"
2023-06-01,캐세이퍼시픽항공,10:10ICN,07:00CDG,+1일,"경유 1, 27시간 50분",성인/KB국민카드,"편도 3,052,700원~"
2023-06-01,캐세이퍼시픽항공,20:15ICN,07:00CDG,+2일,"경유 1, 41시간 45분",성인/KB국민카드,"편도 3,073,300원~"
2023-06-01,여러항공사,11:50ICN,23:05CDG,"경유 1, 18시간 15분",,성인/모든 결제수단,"편도 3,085,300원~"
2023-06-01,여러항공사,08:15ICN,21:25CDG,"경유 1, 20시간 10분",,성인/롯데카드,"편도 3,871,500원~"
2023-06-01,여러항공사공동운항 정보확인필요,11:20ICN,22:15CDG,"경유 1, 17시간 55분",,성인/모든 결제수단,"편도 3,920,500원~"
2023-06-01,여러항공사타이항공 공동운항,17:30ICN,07:10CDG,+1일,"경유 1, 20시간 40분",성인/모든 결제수단,"편도 4,851,800원~"
2023-06-01,여러항공사타이항공 공동운항,09:35ICN,07:10CDG,+1일,"경유 1, 28시간 35분",성인/모든 결제수단,"편도 4,851,800원~"
2023-06-01,여러항공사타이항공 공동운항,10:20ICN,07:10CDG,+1일,"경유 1, 27시간 50분",성인/모든 결제수단,"편도 4,851,800원~"
2023-06-01,여러항공사공동운항 정보확인필요,12:20ICN,21:20CDG,"경유 1, 16시간 00분",,성인/롯데카드,"편도 5,109,200원~"
2023-06-01,여러항공사에바항공 공동운항,19:45ICN,08:20CDG,+1일,"경유 1, 19시간 35분",성인/모든 결제수단,"편도 5,339,400원~"
2023-06-01,여러항공사에바항공 공동운항,12:00ICN,08:20CDG,+1일,"경유 1, 27시간 20분",성인/모든 결제수단,"편도 5,339,400원~"
2023-06-01,여러항공사아시아나항공 등 공동운항,15:50ICN,19:50CDG,+1일,"경유 2, 35시간 00분",성인/롯데카드,"편도 6,101,700원~"
2023-06-01,여러항공사아시아나항공 등 공동운항,09:00ICN,19:50CDG,+1일,"경유 2, 41시간 50분",성인/롯데카드,"편도 6,101,700원~"
2023-06-01,여러항공사아시아나항공 등 공동운항,15:50ICN,13:50CDG,+1일,"경유 2, 29시간 00분",성인/롯데카드,"편도 6,101,700원~"
2023-06-01,여러항공사아시아나항공 등 공동운항,15:50ICN,11:25CDG,+1일,"경유 2, 26시간 35분",성인/롯데카드,"편도 6,101,700원~"
2023-06-01,여러항공사아시아나항공 등 공동운항,09:00ICN,11:25CDG,+1일,"경유 2, 33시간 25분",성인/롯데카드,"편도 6,101,700원~"
2023-06-01,여러항공사아시아나항공 등 공동운항,09:00ICN,13:50CDG,+1일,"경유 2, 35시간 50분",성인/롯데카드,"편도 6,101,700원~"
2023-06-01,여러항공사아시아나항공 등 공동운항,15:50ICN,23:25CDG,+1일,"경유 2, 38시간 35분",성인/롯데카드,"편도 6,120,300원~"
2023-06-01,여러항공사아시아나항공 등 공동운항,09:00ICN,23:25CDG,+1일,"경유 2, 45시간 25분",성인/모든 결제수단,"편도 6,483,600원~"
2023-06-01,여러항공사,14:20ICN,08:20CDG,+1일,"경유 1, 25시간 00분",성인/모든 결제수단,"편도 6,557,700원~"
2023-06-01,여러항공사,10:00ICN,08:20CDG,+1일,"경유 1, 29시간 20분",성인/모든 결제수단,"편도 6,588,300원~"
2023-06-01,에바항공아시아나항공 공동운항,10:00ICN,08:20CDG,+1일,"경유 1, 29시간 20분",성인/모든 결제수단,"편도 6,844,900원~"
2023-06-01,유나이티드항공,16:35ICN,10:25CDG,+1일,"경유 1, 24시간 50분",성인/NH채움카드,"편도 9,104,600원~"
2023-06-01,유나이티드항공아시아나항공 공동운항,09:50ICN,07:45CDG,+1일,"경유 1, 28시간 55분",성인/모든 결제수단,"편도 9,643,800원~"
2023-06-01,유나이티드항공아시아나항공 공동운항,09:50ICN,10:55CDG,+1일,"경유 1, 32시간 05분",성인/모든 결제수단,"편도 9,643,800원~"
2023-06-02,터키항공,11:35ICN,22:05CDG,"경유 1, 17시간 30분",,성인/모든 결제수단,"편도 943,055원~"
2023-06-02,터키항공,11:35ICN,09:40CDG,+1일,"경유 1, 29시간 05분",성인/KB국민카드,"편도 952,900원~"
2023-06-02,터키항공,11:35ICN,18:30CDG,+1일,"경유 1, 37시간 55분",성인/모든 결제수단,"편도 957,076원~"
2023-06-02,터키항공,11:35ICN,17:05CDG,+1일,"경유 1, 36시간 30분",성인/모든 결제수단,"편도 957,076원~"
2023-06-02,터키항공,11:35ICN,15:20CDG,+1일,"경유 1, 34시간 45분",성인/모든 결제수단,"편도 957,309원~"
2023-06-02,터키항공,11:35ICN,18:30CDG,+1일,"경유 1, 37시간 55분",성인/모든 결제수단,"편도 957,076원~"
2023-06-02,터키항공,11:35ICN,17:05CDG,+1일,"경유 1, 36시간 30분",성인/모든 결제수단,"편도 957,076원~"
2023-06-02,터키항공,11:35ICN,15:20CDG,+1일,"경유 1, 34시간 45분",성인/모든 결제수단,"편도 957,309원~"
2023-06-02,터키항공,11:35ICN,12:45CDG,+1일,"경유 1, 32시간 10분",성인/모든 결제수단,"편도 958,794원~"
2023-06-02,LOT폴란드항공,11:20ICN,09:55CDG,+1일,"경유 1, 29시간 35분",성인/KB국민카드,"편도 961,600원~"
2023-06-02,LOT폴란드항공,11:20ICN,18:55CDG,+1일,"경유 1, 38시간 35분",성인/KB국민카드,"편도 961,600원~"
2023-06-02,중국국제항공,15:25ICN,18:40CDG,+1일,"경유 1, 34시간 15분",성인/모든 결제수단,"편도 961,900원~"
2023-06-02,중국국제항공,13:05ICN,18:40CDG,+1일,"경유 1, 36시간 35분",성인/모든 결제수단,"편도 967,965원~"
2023-06-02,중국국제항공,17:50ICN,18:40CDG,+1일,"경유 1, 31시간 50분",성인/모든 결제수단,"편도 968,344원~"
2023-06-02,여러항공사,17:50ICN,10:45CDG,+1일,"경유 2, 23시간 55분",성인/모든 결제수단,"편도 1,029,900원~"
2023-06-02,여러항공사,10:25ICN,22:05CDG,"경유 1, 18시간 40분",,성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 1,040,800원~"
2023-06-02,여러항공사,10:25ICN,09:40CDG,+1일,"경유 1, 30시간 15분",성인/하나멤버스 1Q 카드 Daily,"편도 1,041,800원~"
2023-06-02,여러항공사,10:25ICN,12:45CDG,+1일,"경유 1, 33시간 20분",성인/우리카드,"편도 1,043,700원~"
2023-06-02,타이항공,17:30ICN,07:10CDG,+1일,"경유 1, 20시간 40분",성인/KB국민카드,"편도 1,073,000원~"
2023-06-02,에티하드항공,17:55ICN,07:45CDG,+1일,"경유 1, 20시간 50분",성인/모든 결제수단,"편도 1,106,394원~"
2023-06-02,에어프랑스,09:05ICN,16:10CDG,"직항, 14시간 05분",,성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 1,130,900원~"
2023-06-02,루프트한자,11:40ICN,23:25CDG,"경유 1, 18시간 45분",,성인/모든 결제수단,"편도 1,180,420원~"
2023-06-02,터키항공아시아나항공 공동운항,10:25ICN,17:05CDG,+1일,"경유 1, 37시간 40분",성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 1,200,400원~"
2023-06-02,터키항공아시아나항공 공동운항,10:25ICN,22:05CDG,"경유 1, 18시간 40분",,성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 1,200,400원~"
2023-06-02,터키항공아시아나항공 공동운항,10:25ICN,09:40CDG,+1일,"경유 1, 30시간 15분",성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 1,200,400원~"
2023-06-02,터키항공아시아나항공 공동운항,10:25ICN,15:20CDG,+1일,"경유 1, 35시간 55분",성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 1,200,400원~"
2023-06-02,터키항공아시아나항공 공동운항,10:25ICN,12:45CDG,+1일,"경유 1, 33시간 20분",성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 1,200,400원~"
2023-06-02,터키항공아시아나항공 공동운항,10:25ICN,18:30CDG,+1일,"경유 1, 39시간 05분",성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 1,200,400원~"
2023-06-02,여러항공사,12:15ICN,23:15CDG,"경유 1, 18시간 00분",,성인/우리카드,"편도 1,206,000원~"
2023-06-02,루프트한자,11:40ICN,08:15CDG,+1일,"경유 1, 27시간 35분",성인/모든 결제수단,"편도 1,208,745원~"
2023-06-02,에어프랑스대한항공 공동운항,12:20ICN,18:30CDG,"직항, 13시간 10분",,성인/모든 결제수단,"편도 1,225,533원~"
2023-06-02,여러항공사,13:40ICN,09:40CDG,+1일,"경유 1, 27시간 00분",성인/KB국민카드,"편도 1,234,300원~"
2023-06-02,여러항공사,13:40ICN,12:45CDG,+1일,"경유 1, 30시간 05분",성인/KB국민카드,"편도 1,234,300원~"
2023-06-02,여러항공사,13:40ICN,15:20CDG,+1일,"경유 1, 32시간 40분",성인/KB국민카드,"편도 1,234,300원~"
2023-06-02,여러항공사,13:40ICN,17:05CDG,+1일,"경유 1, 34시간 25분",성인/KB국민카드,"편도 1,234,300원~"
2023-06-02,여러항공사,13:40ICN,08:45CDG,+1일,"경유 1, 26시간 05분",성인/KB국민카드,"편도 1,240,600원~"
2023-06-02,여러항공사,13:40ICN,18:30CDG,+1일,"경유 1, 35시간 50분",성인/우리카드,할인
2023-06-02,터키항공아시아나항공 등 공동운항,10:25ICN,16:45CDG,+1일,"경유 1, 37시간 20분",성인/하나카드,"편도 1,252,100원~"
2023-06-02,터키항공아시아나항공 등 공동운항,10:25ICN,11:35CDG,+1일,"경유 1, 32시간 10분",성인/하나카드,"편도 1,252,100원~"
2023-06-02,여러항공사터키항공 공동운항,13:40ICN,11:35CDG,+1일,"경유 1, 28시간 55분",성인/하나멤버스 1Q 카드 Daily,"편도 1,261,200원~"
2023-06-02,여러항공사Hop 공동운항,09:40ICN,21:20CDG,"경유 1, 18시간 40분",,성인/하나멤버스 1Q 카드 Daily,"편도 1,270,700원~"
2023-06-02,여러항공사Hop 공동운항,09:40ICN,20:00CDG,"경유 1, 17시간 20분",,성인/하나멤버스 1Q 카드 Daily,"편도 1,270,700원~"
2023-06-02,여러항공사Hop 공동운항,09:40ICN,08:35CDG,+1일,"경유 1, 29시간 55분",성인/하나멤버스 1Q 카드 Daily,"편도 1,298,300원~"
2023-06-02,여러항공사Hop 공동운항,09:40ICN,11:10CDG,+1일,"경유 1, 32시간 30분",성인/우리카드,"편도 1,300,600원~"
2023-06-02,루프트한자,12:20ICN,22:55CDG,"경유 1, 17시간 35분",,성인/모든 결제수단,"편도 1,303,727원~"
2023-06-02,타이항공,10:20ICN,07:10CDG,+1일,"경유 1, 27시간 50분",성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 1,308,400원~"
2023-06-02,타이항공,09:35ICN,07:10CDG,+1일,"경유 1, 28시간 35분",성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 1,308,400원~"
2023-06-02,루프트한자에어돌로미티 공동운항,11:40ICN,18:35ORY,+1일,"경유 1, 37시간 55분",성인/모든 결제수단,"편도 1,315,455원~"
2023-06-02,루프트한자에어돌로미티 공동운항,11:40ICN,08:55ORY,+1일,"경유 1, 28시간 15분",성인/모든 결제수단,"편도 1,315,455원~"
2023-06-02,루프트한자,12:20ICN,08:20CDG,+1일,"경유 1, 27시간 00분",성인/모든 결제수단,"편도 1,322,997원~"
2023-06-02,루프트한자,12:20ICN,17:30CDG,+1일,"경유 1, 36시간 10분",성인/모든 결제수단,"편도 1,322,997원~"
2023-06-02,여러항공사,15:25ICN,17:30CDG,+1일,"경유 2, 33시간 05분",성인/모든 결제수단,"편도 1,356,392원~"
2023-06-02,싱가포르항공스쿠트항공 공동운항,22:50ICN,07:35CDG,+2일,"경유 2, 39시간 45분",성인/모든 결제수단,"편도 1,402,066원~"
2023-06-02,싱가포르항공스쿠트항공 공동운항,22:50ICN,21:15CDG,+1일,"경유 2, 29시간 25분",성인/모든 결제수단,"편도 1,403,784원~"
2023-06-02,루프트한자,12:20ICN,21:25CDG,"경유 1, 16시간 05분",,성인/모든 결제수단,"편도 1,419,683원~"
2023-06-02,루프트한자,11:40ICN,11:25CDG,+1일,"경유 1, 30시간 45분",성인/모든 결제수단,"편도 1,437,681원~"
2023-06-02,루프트한자,12:20ICN,10:45CDG,+1일,"경유 1, 29시간 25분",성인/모든 결제수단,"편도 1,448,341원~"
2023-06-02,루프트한자,12:20ICN,09:45CDG,+1일,"경유 1, 28시간 25분",성인/모든 결제수단,"편도 1,448,341원~"
2023-06-02,루프트한자,12:20ICN,13:35CDG,+1일,"경유 1, 32시간 15분",성인/모든 결제수단,"편도 1,448,341원~"
2023-06-02,루프트한자,11:40ICN,22:55CDG,"경유 2, 18시간 15분",,성인/모든 결제수단,"편도 1,451,000원~"
2023-06-02,루프트한자,11:40ICN,08:20CDG,+1일,"경유 2, 27시간 40분",성인/모든 결제수단,"편도 1,460,000원~"
2023-06-02,루프트한자,11:40ICN,08:20CDG,+1일,"경유 2, 27시간 40분",성인/모든 결제수단,"편도 1,460,000원~"
2023-06-02,루프트한자,11:40ICN,08:20CDG,+1일,"경유 2, 27시간 40분",성인/모든 결제수단,"편도 1,460,000원~"
2023-06-02,여러항공사,17:50ICN,19:25CDG,+1일,"경유 2, 32시간 35분",성인/모든 결제수단,"편도 1,468,549원~"
2023-06-02,여러항공사,15:25ICN,19:25CDG,+1일,"경유 2, 35시간 00분",성인/모든 결제수단,"편도 1,468,549원~"
2023-06-02,여러항공사,17:50ICN,17:30CDG,+1일,"경유 2, 30시간 40분",성인/모든 결제수단,"편도 1,486,813원~"
2023-06-02,루프트한자,11:40ICN,09:45CDG,+1일,"경유 2, 29시간 05분",성인/삼성카드,"편도 1,498,000원~"
2023-06-02,루프트한자,11:40ICN,09:45CDG,+1일,"경유 2, 29시간 05분",성인/삼성카드,"편도 1,516,600원~"
2023-06-02,여러항공사아시아나항공 공동운항,15:00ICN,19:25CDG,+1일,"경유 2, 35시간 25분",성인/모든 결제수단,"편도 1,516,924원~"
2023-06-02,여러항공사,15:00ICN,19:25CDG,+1일,"경유 1, 35시간 25분",성인/삼성카드,"편도 1,537,600원~"
2023-06-02,싱가포르항공,11:20ICN,21:15CDG,+1일,"경유 1, 40시간 55분",성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 1,565,400원~"
2023-06-02,싱가포르항공,09:00ICN,07:35CDG,+1일,"경유 1, 29시간 35분",성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 1,565,400원~"
2023-06-02,싱가포르항공,09:00ICN,21:15CDG,+1일,"경유 1, 43시간 15분",성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 1,565,400원~"
